stop_id;stop_name;stop_desc;code_insee;lon;lat
5138082;LEDRU ROLLIN - FAUBOURG SAINT-ANTOINE;85 AVENUE LEDRU ROLLIN;75112;2.37561834784;48.8509785673
7275133;MARCADET - POISSONNIERS;73 BOULEVARD BARBES;75118;2.34943917728;48.8911844366
7275153;CITE - PALAIS DE JUSTICE;1 BOULEVARD DU PALAIS;75101;2.34638000511;48.8557836987
7275317;RIVOLI - PONT NEUF;128 RUE DE RIVOLI;75101;2.34436481899;48.8598461518
4146112;PORTE DE BAGNOLET;FACE 4 AVENUE DE LA PORTE DE BAGNOLET;75120;2.40964333096;48.8647854102
7275431;PORTE D'ORLEANS;132 AVENUE DU GENERAL LECLERC;75114;2.32543991368;48.8237608031
4211799;CHATEAU ROUGE;37 BOULEVARD BARBES;75118;2.34937024763;48.8878322212
7275545;VILLIERS;63 BOULEVARD DES BATIGNOLLES;75108;2.31710099448;48.8811985587
7275551;VILLIERS;16 AVENUE DE VILLIERS;75117;2.31393929237;48.8819529112
5158073;GANNERON;31 AVENUE DE CLICHY;75118;2.3261343978;48.8859000681
6217405;CHARLES DE GAULLE - ETOILE - FRIEDLAND;47 AVENUE DE FRIEDLAND;75108;2.29654432126;48.8737967772
5231601;MURIERS;35-37 AVENUE GAMBETTA;75120;2.39262860669;48.8642912409
7647729;PORTE DE LA CHAPELLE;FACE 58 BOULEVARD NEY;75118;2.35925524128;48.898363764
7647749;BIBLIOTHEQUE FRANCOIS MITTERRAND;109-111 AVENUE DE FRANCE;75113;2.37677370379;48.8301809975
5454885;BUFFON - LA MOSQUEE;36 BIS RUE GEOFFROY SAINT-HILAIRE;75105;2.35582715908;48.8416902151
7653675;SAINT-SULPICE;FACE 78 RUE BONAPARTE;75106;2.33285589395;48.8506431414
4378108;PARC MONTSOURIS;2 RUE GAZAN;75114;2.3399225516;48.8241658044
7653688;ASSEMBLEE NATIONALE;241 BOULEVARD SAINT-GERMAIN;75107;2.32003723317;48.8615437392
5454928;BOBILLOT - TOLBIAC;56 RUE BOBILLOT;75113;2.34994100357;48.8254863446
7653691;MADELEINE;16 PLACE DE LA MADELEINE;75108;2.32522506834;48.8698127534
4459244;OPERA - 4 SEPTEMBRE;35 RUE DU 4 SEPTEMBRE;75102;2.3331403404;48.8701008842
7653699;RUYSDAEL - PARC MONCEAU;54 RUE DE LISBONNE;75108;2.30913142993;48.8775571016
5478420;CARREFOUR DE BEAUTE;AVENUE DU TREMBLAY;75112;2.46409530362;48.8273517892
4009041;PORTE DES LILAS;5 RUE CHARLES CROS;75120;2.40820228956;48.8768742394
6423452;CHATEAU ROUGE;37 BOULEVARD BARBES;75118;2.34937024763;48.8878322212
5657268;GARE SAINT-LAZARE;3 RUE INTERIEURE;75108;2.3262319212;48.8758882751
